text	ref	p_Id	body_Id
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)\n	16	
"Victoria Ville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Victoriaville&params=46_03_N_71_58_W_region:CA-QC_type:city(45309) 	16	
Canada	https://tools.wmflabs.org/geohack/geohack.php?pagename=Canada&params=60_N_95_W_	16	
"Montreal Forum, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal_Forum&params=45_29_25_N_73_35_5_W_type:landmark_scale:2500	17	
"Montreal Forum, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal_Forum&params=45_29_25_N_73_35_5_W_type:landmark_scale:2500	17	
"Montreal Forum, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal_Forum&params=45_29_25_N_73_35_5_W_type:landmark_scale:2500	17	
"Montreal Forum, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal_Forum&params=45_29_25_N_73_35_5_W_type:landmark_scale:2500	18	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	19	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	19	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	19	
"Onslow, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki\n&title=Quyon%2C+Quebec	21	
"Onslow, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki\n&title=Quyon%2C+Quebec	22	
"Arnprior,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Arnprior&params=45_26_N_76_21_W_region:CA-ON_type:city(10426)	24	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	24	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	24	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	24	
"Ottawa Hospital,Ontario"	https://en.wikipedia.org/wiki/The_Ottawa_Hospital	24	
"Fort Coulonge, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Fort-Coulonge&params=45_51_N_76_44_W_region:CA-QC_type:city(1377) 	24	
"Calumet Island, New York State"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Calumet_Island&params=44_15_00_N_76_05_42_W_region:US-NY_type:isle	24	
"Sudbury, Ontario "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Greater_Sudbury&params=46_29_24_N_81_00_36_W_region:CA-ON_type:city	24	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	24	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	24	
"Arnprior,Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Arnprior&params=45_26_N_76_21_W_region:CA-ON_type:city(10426)	24	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	24	
"Bryson, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aldfield&params=54.120_N_-01.598_E_region:GB_type:city	24	
"British Columbia, Canada "	https://tools.wmflabs.org/geohack/geohack.php?pagename=British_Columbia&params=54_N_125_W_type:adm1st_scale:10000000_region:CA-BC	24	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	24	
"Pontiac Community Hospital, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	24	
"Red Deer, Alberta"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Red_Deer%2C_Alberta&params=52_16_05_N_113_48_40_W_region:CA-AB_type:city(100418)	24	
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)	24	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	24	
"Orlando,Florida "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Orlando%2C_Florida&params=28_24_57_N_81_17_56_W_type:city(238300)_region:US-FL 	24	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	24	
"Hull, Quebec "	"hhttps://en.wikipedia.org/wiki/Hull,_Quebec"	24	
"Bryson, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aldfield&params=54.120_N_-01.598_E_region:GB_type:city	24	
"Bryson, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aldfield&params=54.120_N_-01.598_E_region:GB_type:city	24	
"Corsier, Switzerland "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Corsier&params=46_15_N_06_13_E_region:CH-GE_type:city(2017)	24	
"Calumet Island, New York State"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Calumet_Island&params=44_15_00_N_76_05_42_W_region:US-NY_type:isle	24	
"Ladysmith, Quebec "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Thorne%2C_Quebec&params=45_45_N_76_26_W_region:CA-QC_type:city(292))	25	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	26	
"Aldfield, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aldfield&params=54.120_N_-01.598_E_region:GB_type:city	26	
"Montreal, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal&params=45_30_N_73_34_W_region:CA-QC_type:city(1649519)	26	
