key,from,to,role,ref,persName_Text,p_Id
,,,,, Mrs Fred Dagg,70
,,,,, Mr and Mrs Willie Lang ,70
,,,,, Mr and Mrs Frank Ladouceur ,70
,,,,, Mrs Dagg’s ,70
,,,,, Beth Angus ,70
,,,,, Ross Angus,70
,,,,, Mrs Ken Woods,70
,,,,, Mrs Brent Barr ,70
,,,,, Mrs Wayne Carrothers ,70
,,,,, Mr and Mrs Les Hodgins Michelle ,70
,,,,, Carol Michelle,70
,,,,, Mr and Mrs Lorn C Hodgins ,70
,,,,, Deborah Hodgins,70
,,,,, Laurie Hodgins,70
,,,,, Mr and Mrs Norval McNeill ,70
,,,,, Master Jimmie Carrothers ,70
,,,,, Lawson Smith ,70
,,,,, Kathy Carruthers ,70
,,,,, Mr and Mrs Brent Barr ,70
,,,,," PIGEON, Eugene ",71
,,,,, Rev. Alistair J. Macintosh ,76
,,,,, Mrs C. Edgar Hodgins ,76
,,,,, H. Max Preisler,76
,,,,, Rev. Donald A. Sharpe ,76
,,,,, Rev. Edith Mainprize,76
,,,,, HARLAND C. WORDEN,76
,,,,," Minister, R.W.R Kierstead ",76
,,,,, Rev. A. Pick\n,76
,,,,, Rev. C. John McElliogot ,76
,,,,, Bryson Father Leo Pelletier ,76
,,,,, Rev. William Knox ,76
,,,,, REV. LORNE LAMOINE\n,76
,,,,, Rev. Charles J. Boole,76
,,,,, REV. E.N. McCOLL ,76
,,,,, REV. PETER DAVISON ,76
,,,,, REV. L.H BALLARD ,76
,,,,," REV. J. C. JOYAL, PASTOR ",76
,,,,, REV. R.D.ELLIS ,76
,,,,, Rev. KEITH GOODMAN,76
,,,,, REV. WM. J. BAXTER,76
,,,,, Ernest Sewell ,76
,,,,, REV. W. D. MILLIGAN ,76
,,,,, F.E. LACOURSE ,77
,,,,, C. DOUGLAS McLEAN ,80
,,,,, Dr. Wallace Hodgins ,81
,,,,, CHRIS McCOLGAN ,82
,,,,, PAUL A. MARTINEAU ,83
,,,,, DR. R.J. CHRETIEN ,84
,,,,, RAYMOND M. ROWAT ,90
,,,,, J. LAWSON SMITH ,92
,,,,, LORNE A. MOLLOT ,93
,,,,, DONALD LAVALLEE,94
,,,,, Donald S. Hodgins,95
,,,,, GERALD BOUDREAU ,96
